WORK_DATE,DEB_TIME,ENTITY_DESCRIPTION_SHORT,WAIT_TIME_MAX
2022-07-27,2022-07-27 11:00:00.000,Go-Karts,34
2022-07-27,2022-07-27 11:00:00.000,Haunted House,21
2022-07-27,2022-07-27 11:00:00.000,Inverted Coaster,43
2022-07-27,2022-07-27 11:00:00.000,Kiddie Coaster,7
2022-07-27,2022-07-27 11:00:00.000,Merry Go Round,14
2022-07-27,2022-07-27 11:00:00.000,Oz Theatre,7
2022-07-27,2022-07-27 11:00:00.000,Rapids Ride,15
2022-07-27,2022-07-27 11:00:00.000,Roller Coaster,32
2022-07-27,2022-07-27 11:00:00.000,Spinning Coaster,26
2022-07-27,2022-07-27 11:00:00.000,Spiral Slide,89
2022-07-27,2022-07-27 11:00:00.000,Superman Ride,21
2022-07-27,2022-07-27 11:00:00.000,Swing Ride,48
2022-07-27,2022-07-27 11:00:00.000,Water Ride,26
2022-07-27,2022-07-27 11:00:00.000,Zipline,39
2022-07-27,2022-07-27 12:00:00.000,Bumper Cars,15
2022-07-27,2022-07-27 12:00:00.000,Bungee Jump,35
2022-07-27,2022-07-27 12:00:00.000,Circus Train,5
2022-07-27,2022-07-27 12:00:00.000,Dizzy Dropper,17
2022-07-27,2022-07-27 12:00:00.000,Drop Tower,41
2022-07-27,2022-07-27 12:00:00.000,Flying Coaster,29
2022-07-27,2022-07-27 12:00:00.000,Free Fall,62
2022-07-27,2022-07-27 12:00:00.000,Giant Wheel,51
2022-07-27,2022-07-27 12:00:00.000,Go-Karts,33
2022-07-27,2022-07-27 12:00:00.000,Haunted House,24
2022-07-27,2022-07-27 12:00:00.000,Inverted Coaster,48
2022-07-27,2022-07-27 12:00:00.000,Kiddie Coaster,8
2022-07-27,2022-07-27 12:00:00.000,Merry Go Round,19
2022-07-27,2022-07-27 12:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 12:00:00.000,Rapids Ride,20
2022-07-27,2022-07-27 12:00:00.000,Roller Coaster,33
2022-07-27,2022-07-27 12:00:00.000,Spinning Coaster,25
2022-07-27,2022-07-27 12:00:00.000,Spiral Slide,88
2022-07-27,2022-07-27 12:00:00.000,Superman Ride,21
2022-07-27,2022-07-27 12:00:00.000,Swing Ride,49
2022-07-27,2022-07-27 12:00:00.000,Water Ride,29
2022-07-27,2022-07-27 12:00:00.000,Zipline,40
2022-07-27,2022-07-27 13:00:00.000,Bumper Cars,15
2022-07-27,2022-07-27 13:00:00.000,Bungee Jump,33
2022-07-27,2022-07-27 13:00:00.000,Circus Train,5
2022-07-27,2022-07-27 13:00:00.000,Dizzy Dropper,16
2022-07-27,2022-07-27 13:00:00.000,Drop Tower,39
2022-07-27,2022-07-27 13:00:00.000,Flying Coaster,31
2022-07-27,2022-07-27 13:00:00.000,Free Fall,61
2022-07-27,2022-07-27 13:00:00.000,Giant Wheel,51
2022-07-27,2022-07-27 13:00:00.000,Go-Karts,32
2022-07-27,2022-07-27 13:00:00.000,Haunted House,23
2022-07-27,2022-07-27 13:00:00.000,Inverted Coaster,37
2022-07-27,2022-07-27 13:00:00.000,Kiddie Coaster,8
2022-07-27,2022-07-27 13:00:00.000,Merry Go Round,21
2022-07-27,2022-07-27 13:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 13:00:00.000,Rapids Ride,22
2022-07-27,2022-07-27 13:00:00.000,Roller Coaster,33
2022-07-27,2022-07-27 13:00:00.000,Spinning Coaster,24
2022-07-27,2022-07-27 13:00:00.000,Spiral Slide,84
2022-07-27,2022-07-27 13:00:00.000,Superman Ride,21
2022-07-27,2022-07-27 13:00:00.000,Swing Ride,50
2022-07-27,2022-07-27 13:00:00.000,Water Ride,29
2022-07-27,2022-07-27 13:00:00.000,Zipline,37
2022-07-27,2022-07-27 14:00:00.000,Bumper Cars,16
2022-07-27,2022-07-27 14:00:00.000,Bungee Jump,34
2022-07-27,2022-07-27 14:00:00.000,Circus Train,5
2022-07-27,2022-07-27 14:00:00.000,Dizzy Dropper,17
2022-07-27,2022-07-27 14:00:00.000,Drop Tower,36
2022-07-27,2022-07-27 14:00:00.000,Flying Coaster,32
2022-07-27,2022-07-27 14:00:00.000,Free Fall,62
2022-07-27,2022-07-27 14:00:00.000,Giant Wheel,51
2022-07-27,2022-07-27 14:00:00.000,Go-Karts,33
2022-07-27,2022-07-27 14:00:00.000,Haunted House,23
2022-07-27,2022-07-27 14:00:00.000,Inverted Coaster,33
2022-07-27,2022-07-27 14:00:00.000,Kiddie Coaster,9
2022-07-27,2022-07-27 14:00:00.000,Merry Go Round,26
2022-07-27,2022-07-27 14:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 14:00:00.000,Rapids Ride,24
2022-07-27,2022-07-27 14:00:00.000,Roller Coaster,34
2022-07-27,2022-07-27 14:00:00.000,Spinning Coaster,25
2022-07-27,2022-07-27 14:00:00.000,Spiral Slide,87
2022-07-27,2022-07-27 14:00:00.000,Superman Ride,21
2022-07-27,2022-07-27 14:00:00.000,Swing Ride,51
2022-07-27,2022-07-27 14:00:00.000,Water Ride,29
2022-07-27,2022-07-27 14:00:00.000,Zipline,36
2022-07-27,2022-07-27 15:00:00.000,Bumper Cars,16
2022-07-27,2022-07-27 15:00:00.000,Bungee Jump,31
2022-07-27,2022-07-27 15:00:00.000,Circus Train,5
2022-07-27,2022-07-27 15:00:00.000,Dizzy Dropper,16
2022-07-27,2022-07-27 15:00:00.000,Drop Tower,35
2022-07-27,2022-07-27 15:00:00.000,Flying Coaster,30
2022-07-27,2022-07-27 15:00:00.000,Free Fall,61
2022-07-27,2022-07-27 15:00:00.000,Giant Wheel,51
2022-07-27,2022-07-27 15:00:00.000,Go-Karts,33
2022-07-27,2022-07-27 15:00:00.000,Haunted House,24
2022-07-27,2022-07-27 15:00:00.000,Inverted Coaster,34
2022-07-27,2022-07-27 15:00:00.000,Kiddie Coaster,11
2022-07-27,2022-07-27 15:00:00.000,Merry Go Round,27
2022-07-27,2022-07-27 15:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 15:00:00.000,Rapids Ride,27
2022-07-27,2022-07-27 15:00:00.000,Roller Coaster,35
2022-07-27,2022-07-27 15:00:00.000,Spinning Coaster,25
2022-07-27,2022-07-27 15:00:00.000,Spiral Slide,90
2022-07-27,2022-07-27 15:00:00.000,Superman Ride,21
2022-07-27,2022-07-27 15:00:00.000,Swing Ride,50
2022-07-27,2022-07-27 15:00:00.000,Water Ride,30
2022-07-27,2022-07-27 15:00:00.000,Zipline,36
2022-07-27,2022-07-27 16:00:00.000,Bumper Cars,13
2022-07-27,2022-07-27 16:00:00.000,Bungee Jump,28
2022-07-27,2022-07-27 16:00:00.000,Circus Train,5
2022-07-27,2022-07-27 16:00:00.000,Dizzy Dropper,16
2022-07-27,2022-07-27 16:00:00.000,Drop Tower,33
2022-07-27,2022-07-27 16:00:00.000,Flying Coaster,26
2022-07-27,2022-07-27 16:00:00.000,Free Fall,59
2022-07-27,2022-07-27 16:00:00.000,Giant Wheel,51
2022-07-27,2022-07-27 16:00:00.000,Go-Karts,33
2022-07-27,2022-07-27 16:00:00.000,Haunted House,22
2022-07-27,2022-07-27 16:00:00.000,Inverted Coaster,35
2022-07-27,2022-07-27 16:00:00.000,Kiddie Coaster,10
2022-07-27,2022-07-27 16:00:00.000,Merry Go Round,21
2022-07-27,2022-07-27 16:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 16:00:00.000,Rapids Ride,24
2022-07-27,2022-07-27 16:00:00.000,Roller Coaster,30
2022-07-27,2022-07-27 16:00:00.000,Spinning Coaster,23
2022-07-27,2022-07-27 16:00:00.000,Spiral Slide,86
2022-07-27,2022-07-27 16:00:00.000,Superman Ride,21
2022-07-27,2022-07-27 16:00:00.000,Swing Ride,49
2022-07-27,2022-07-27 16:00:00.000,Water Ride,29
2022-07-27,2022-07-27 16:00:00.000,Zipline,36
2022-07-27,2022-07-27 17:00:00.000,Bumper Cars,10
2022-07-27,2022-07-27 17:00:00.000,Bungee Jump,19
2022-07-27,2022-07-27 17:00:00.000,Circus Train,5
2022-07-27,2022-07-27 17:00:00.000,Dizzy Dropper,14
2022-07-27,2022-07-27 17:00:00.000,Drop Tower,27
2022-07-27,2022-07-27 17:00:00.000,Flying Coaster,19
2022-07-27,2022-07-27 17:00:00.000,Free Fall,28
2022-07-27,2022-07-27 17:00:00.000,Giant Wheel,49
2022-07-27,2022-07-27 17:00:00.000,Go-Karts,30
2022-07-27,2022-07-27 17:00:00.000,Haunted House,18
2022-07-27,2022-07-27 17:00:00.000,Inverted Coaster,38
2022-07-27,2022-07-27 17:00:00.000,Kiddie Coaster,8
2022-07-27,2022-07-27 17:00:00.000,Merry Go Round,14
2022-07-27,2022-07-27 17:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 17:00:00.000,Rapids Ride,17
2022-07-27,2022-07-27 17:00:00.000,Roller Coaster,20
2022-07-27,2022-07-27 17:00:00.000,Spinning Coaster,20
2022-07-27,2022-07-27 17:00:00.000,Spiral Slide,75
2022-07-27,2022-07-27 17:00:00.000,Superman Ride,20
2022-07-27,2022-07-27 17:00:00.000,Swing Ride,49
2022-07-27,2022-07-27 17:00:00.000,Water Ride,26
2022-07-27,2022-07-27 17:00:00.000,Zipline,34
2022-07-27,2022-07-27 18:00:00.000,Bumper Cars,9
2022-07-27,2022-07-27 18:00:00.000,Bungee Jump,17
2022-07-27,2022-07-27 18:00:00.000,Circus Train,5
2022-07-27,2022-07-27 18:00:00.000,Dizzy Dropper,14
2022-07-27,2022-07-27 18:00:00.000,Drop Tower,27
2022-07-27,2022-07-27 18:00:00.000,Flying Coaster,16
2022-07-27,2022-07-27 18:00:00.000,Free Fall,53
2022-07-27,2022-07-27 18:00:00.000,Giant Wheel,50
2022-07-27,2022-07-27 18:00:00.000,Go-Karts,34
2022-07-27,2022-07-27 18:00:00.000,Haunted House,21
2022-07-27,2022-07-27 18:00:00.000,Inverted Coaster,25
2022-07-27,2022-07-27 18:00:00.000,Kiddie Coaster,8
2022-07-27,2022-07-27 18:00:00.000,Merry Go Round,12
2022-07-27,2022-07-27 18:00:00.000,Oz Theatre,7
2022-07-27,2022-07-27 18:00:00.000,Rapids Ride,16
2022-07-27,2022-07-27 18:00:00.000,Spinning Coaster,23
2022-07-27,2022-07-27 18:00:00.000,Spiral Slide,81
2022-07-27,2022-07-27 18:00:00.000,Superman Ride,20
2022-07-27,2022-07-27 18:00:00.000,Swing Ride,54
2022-07-27,2022-07-27 18:00:00.000,Water Ride,27
2022-07-27,2022-07-27 18:00:00.000,Zipline,36
2022-07-27,2022-07-27 19:00:00.000,Bumper Cars,9
2022-07-27,2022-07-27 19:00:00.000,Bungee Jump,15
2022-07-27,2022-07-27 19:00:00.000,Circus Train,5
2022-07-27,2022-07-27 19:00:00.000,Dizzy Dropper,15
2022-07-27,2022-07-27 19:00:00.000,Drop Tower,27
2022-07-27,2022-07-27 19:00:00.000,Flying Coaster,17
2022-07-27,2022-07-27 19:00:00.000,Giant Wheel,45
2022-07-27,2022-07-27 19:00:00.000,Go-Karts,30
2022-07-27,2022-07-27 19:00:00.000,Haunted House,19
2022-07-27,2022-07-27 19:00:00.000,Kiddie Coaster,8
2022-07-27,2022-07-27 19:00:00.000,Merry Go Round,10
2022-07-27,2022-07-27 19:00:00.000,Oz Theatre,7
2022-07-27,2022-07-27 19:00:00.000,Rapids Ride,18
2022-07-27,2022-07-27 19:00:00.000,Spinning Coaster,19
2022-07-27,2022-07-27 19:00:00.000,Superman Ride,20
2022-07-27,2022-07-27 19:00:00.000,Swing Ride,47
2022-07-27,2022-07-27 19:00:00.000,Water Ride,25
2022-07-27,2022-07-27 19:00:00.000,Zipline,34
2022-07-27,2022-07-27 20:00:00.000,Bumper Cars,8
2022-07-27,2022-07-27 20:00:00.000,Bungee Jump,11
2022-07-27,2022-07-27 20:00:00.000,Circus Train,5
2022-07-27,2022-07-27 20:00:00.000,Dizzy Dropper,13
2022-07-27,2022-07-27 20:00:00.000,Drop Tower,23
2022-07-27,2022-07-27 20:00:00.000,Flying Coaster,13
2022-07-27,2022-07-27 20:00:00.000,Giant Wheel,39
2022-07-27,2022-07-27 20:00:00.000,Go-Karts,26
2022-07-27,2022-07-27 20:00:00.000,Haunted House,15
2022-07-27,2022-07-27 20:00:00.000,Kiddie Coaster,7
2022-07-27,2022-07-27 20:00:00.000,Merry Go Round,8
2022-07-27,2022-07-27 20:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 20:00:00.000,Rapids Ride,15
2022-07-27,2022-07-27 20:00:00.000,Spinning Coaster,15
2022-07-27,2022-07-27 20:00:00.000,Swing Ride,46
2022-07-27,2022-07-27 20:00:00.000,Water Ride,23
2022-07-27,2022-07-27 20:00:00.000,Zipline,33
2022-07-27,2022-07-27 21:00:00.000,Bumper Cars,7
2022-07-27,2022-07-27 21:00:00.000,Bungee Jump,15
2022-07-27,2022-07-27 21:00:00.000,Circus Train,5
2022-07-27,2022-07-27 21:00:00.000,Dizzy Dropper,13
2022-07-27,2022-07-27 21:00:00.000,Drop Tower,23
2022-07-27,2022-07-27 21:00:00.000,Flying Coaster,13
2022-07-27,2022-07-27 21:00:00.000,Giant Wheel,36
2022-07-27,2022-07-27 21:00:00.000,Go-Karts,25
2022-07-27,2022-07-27 21:00:00.000,Haunted House,14
2022-07-27,2022-07-27 21:00:00.000,Kiddie Coaster,8
2022-07-27,2022-07-27 21:00:00.000,Merry Go Round,7
2022-07-27,2022-07-27 21:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 21:00:00.000,Rapids Ride,15
2022-07-27,2022-07-27 21:00:00.000,Spinning Coaster,16
2022-07-27,2022-07-27 21:00:00.000,Swing Ride,44
2022-07-27,2022-07-27 21:00:00.000,Water Ride,21
2022-07-27,2022-07-27 21:00:00.000,Zipline,31
2022-07-27,2022-07-27 22:00:00.000,Bumper Cars,8
2022-07-27,2022-07-27 22:00:00.000,Bungee Jump,15
2022-07-27,2022-07-27 22:00:00.000,Circus Train,5
2022-07-27,2022-07-27 22:00:00.000,Dizzy Dropper,12
2022-07-27,2022-07-27 22:00:00.000,Drop Tower,25
2022-07-27,2022-07-27 22:00:00.000,Flying Coaster,16
2022-07-27,2022-07-27 22:00:00.000,Giant Wheel,31
2022-07-27,2022-07-27 22:00:00.000,Go-Karts,17
2022-07-27,2022-07-27 22:00:00.000,Haunted House,19
2022-07-27,2022-07-27 22:00:00.000,Merry Go Round,10
2022-07-27,2022-07-27 22:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 22:00:00.000,Spinning Coaster,16
2022-07-27,2022-07-27 22:00:00.000,Swing Ride,41
2022-07-27,2022-07-27 22:00:00.000,Water Ride,20
2022-07-27,2022-07-27 22:00:00.000,Zipline,28
2022-07-28,2022-07-28 09:00:00.000,Bumper Cars,7
2022-07-28,2022-07-28 09:00:00.000,Bungee Jump,17
2022-07-28,2022-07-28 09:00:00.000,Circus Train,5
2022-07-28,2022-07-28 09:00:00.000,Dizzy Dropper,5
2022-07-28,2022-07-28 09:00:00.000,Drop Tower,10
2022-07-28,2022-07-28 09:00:00.000,Flying Coaster,12
2022-07-28,2022-07-28 09:00:00.000,Free Fall,58
2022-07-28,2022-07-28 09:00:00.000,Giant Wheel,32
2022-07-28,2022-07-28 09:00:00.000,Go-Karts,22
2022-07-28,2022-07-28 09:00:00.000,Haunted House,8
2022-07-28,2022-07-28 09:00:00.000,Inverted Coaster,12
2022-07-28,2022-07-28 09:00:00.000,Merry Go Round,8
2022-07-28,2022-07-28 09:00:00.000,Oz Theatre,7
2022-07-28,2022-07-28 09:00:00.000,Spinning Coaster,10
2022-07-28,2022-07-28 09:00:00.000,Spiral Slide,96
2022-07-28,2022-07-28 09:00:00.000,Superman Ride,21
2022-07-28,2022-07-28 09:00:00.000,Swing Ride,43
2022-07-28,2022-07-28 09:00:00.000,Water Ride,11
2022-07-28,2022-07-28 09:00:00.000,Zipline,11
2022-07-28,2022-07-28 10:00:00.000,Bumper Cars,9
2022-07-28,2022-07-28 10:00:00.000,Bungee Jump,18
2022-07-28,2022-07-28 10:00:00.000,Circus Train,5
2022-07-28,2022-07-28 10:00:00.000,Dizzy Dropper,12
2022-07-28,2022-07-28 10:00:00.000,Drop Tower,26
2022-07-28,2022-07-28 10:00:00.000,Flying Coaster,15
2022-07-28,2022-07-28 10:00:00.000,Free Fall,61
2022-07-28,2022-07-28 10:00:00.000,Giant Wheel,49
2022-07-28,2022-07-28 10:00:00.000,Go-Karts,31
2022-07-28,2022-07-28 10:00:00.000,Haunted House,19
2022-07-28,2022-07-28 10:00:00.000,Inverted Coaster,31
2022-07-28,2022-07-28 10:00:00.000,Kiddie Coaster,8
2022-07-28,2022-07-28 10:00:00.000,Merry Go Round,11
2022-07-28,2022-07-28 10:00:00.000,Oz Theatre,8
2022-07-28,2022-07-28 10:00:00.000,Rapids Ride,13
2022-07-28,2022-07-28 10:00:00.000,Roller Coaster,31
2022-07-28,2022-07-28 10:00:00.000,Spinning Coaster,22
2022-07-28,2022-07-28 10:00:00.000,Spiral Slide,92
2022-07-28,2022-07-28 10:00:00.000,Superman Ride,21
2022-07-28,2022-07-28 10:00:00.000,Swing Ride,48
2022-07-28,2022-07-28 10:00:00.000,Water Ride,25
2022-07-28,2022-07-28 10:00:00.000,Zipline,29
2022-07-28,2022-07-28 11:00:00.000,Bumper Cars,11
2022-07-28,2022-07-28 11:00:00.000,Bungee Jump,26
2022-07-28,2022-07-28 11:00:00.000,Circus Train,5
2022-07-28,2022-07-28 11:00:00.000,Dizzy Dropper,13
2022-07-28,2022-07-28 11:00:00.000,Drop Tower,33
2022-07-28,2022-07-28 11:00:00.000,Flying Coaster,19
2022-07-28,2022-07-28 11:00:00.000,Free Fall,58
2022-07-28,2022-07-28 11:00:00.000,Giant Wheel,52
2022-07-28,2022-07-28 11:00:00.000,Go-Karts,34
2022-07-28,2022-07-28 11:00:00.000,Haunted House,22
2022-07-28,2022-07-28 11:00:00.000,Inverted Coaster,38
2022-07-28,2022-07-28 11:00:00.000,Kiddie Coaster,7
2022-07-28,2022-07-28 11:00:00.000,Merry Go Round,15
2022-07-28,2022-07-28 11:00:00.000,Oz Theatre,7
2022-07-28,2022-07-28 11:00:00.000,Rapids Ride,14
2022-07-28,2022-07-28 11:00:00.000,Roller Coaster,31
2022-07-28,2022-07-28 11:00:00.000,Spinning Coaster,27
2022-07-28,2022-07-28 11:00:00.000,Spiral Slide,89
2022-07-28,2022-07-28 11:00:00.000,Superman Ride,21
2022-07-28,2022-07-28 11:00:00.000,Swing Ride,48
2022-07-28,2022-07-28 11:00:00.000,Water Ride,27
2022-07-28,2022-07-28 11:00:00.000,Zipline,39
2022-07-28,2022-07-28 12:00:00.000,Bumper Cars,15
2022-07-28,2022-07-28 12:00:00.000,Bungee Jump,37
2022-07-28,2022-07-28 12:00:00.000,Circus Train,5
2022-07-28,2022-07-28 12:00:00.000,Dizzy Dropper,17
2022-07-28,2022-07-28 12:00:00.000,Drop Tower,40
2022-07-28,2022-07-28 12:00:00.000,Flying Coaster,29
2022-07-28,2022-07-28 12:00:00.000,Free Fall,60
2022-07-28,2022-07-28 12:00:00.000,Giant Wheel,51
2022-07-28,2022-07-28 12:00:00.000,Go-Karts,32
2022-07-28,2022-07-28 12:00:00.000,Haunted House,23
2022-07-28,2022-07-28 12:00:00.000,Inverted Coaster,47
2022-07-28,2022-07-28 12:00:00.000,Kiddie Coaster,8
2022-07-28,2022-07-28 12:00:00.000,Merry Go Round,20
2022-07-28,2022-07-28 12:00:00.000,Oz Theatre,8
2022-07-28,2022-07-28 12:00:00.000,Rapids Ride,20
2022-07-28,2022-07-28 12:00:00.000,Roller Coaster,33
2022-07-28,2022-07-28 12:00:00.000,Spinning Coaster,26
2022-07-28,2022-07-28 12:00:00.000,Spiral Slide,85
2022-07-28,2022-07-28 12:00:00.000,Superman Ride,21
2022-07-28,2022-07-28 12:00:00.000,Swing Ride,49
2022-07-28,2022-07-28 12:00:00.000,Water Ride,29
2022-07-28,2022-07-28 12:00:00.000,Zipline,39
2022-07-28,2022-07-28 13:00:00.000,Bumper Cars,15
2022-07-28,2022-07-28 13:00:00.000,Bungee Jump,33
2022-07-28,2022-07-28 13:00:00.000,Circus Train,5
2022-07-28,2022-07-28 13:00:00.000,Dizzy Dropper,16
2022-07-28,2022-07-28 13:00:00.000,Drop Tower,39
2022-07-28,2022-07-28 13:00:00.000,Flying Coaster,30
2022-07-28,2022-07-28 13:00:00.000,Free Fall,62
2022-07-28,2022-07-28 13:00:00.000,Giant Wheel,51
2022-07-28,2022-07-28 13:00:00.000,Go-Karts,32
2022-07-28,2022-07-28 13:00:00.000,Haunted House,23
2022-07-28,2022-07-28 13:00:00.000,Inverted Coaster,35
2022-07-28,2022-07-28 13:00:00.000,Kiddie Coaster,8
2022-07-28,2022-07-28 13:00:00.000,Merry Go Round,22
2022-07-28,2022-07-28 13:00:00.000,Oz Theatre,8
2022-07-28,2022-07-28 13:00:00.000,Rapids Ride,22
2022-07-28,2022-07-28 13:00:00.000,Roller Coaster,33
2022-07-28,2022-07-28 13:00:00.000,Spinning Coaster,23
2022-07-28,2022-07-28 13:00:00.000,Spiral Slide,84
2022-07-28,2022-07-28 13:00:00.000,Superman Ride,21
2022-07-28,2022-07-28 13:00:00.000,Swing Ride,49
2022-07-28,2022-07-28 13:00:00.000,Water Ride,29
2022-07-28,2022-07-28 13:00:00.000,Zipline,37
2022-07-28,2022-07-28 14:00:00.000,Bumper Cars,15
2022-07-28,2022-07-28 14:00:00.000,Bungee Jump,35
2022-07-28,2022-07-28 14:00:00.000,Circus Train,5
2022-07-28,2022-07-28 14:00:00.000,Dizzy Dropper,16
2022-07-28,2022-07-28 14:00:00.000,Drop Tower,36
2022-07-28,2022-07-28 14:00:00.000,Flying Coaster,31
2022-07-28,2022-07-28 14:00:00.000,Free Fall,63
2022-07-28,2022-07-28 14:00:00.000,Giant Wheel,50
2022-07-28,2022-07-28 14:00:00.000,Go-Karts,32
2022-07-28,2022-07-28 14:00:00.000,Haunted House,23
2022-07-28,2022-07-28 14:00:00.000,Inverted Coaster,33
2022-07-28,2022-07-28 14:00:00.000,Kiddie Coaster,9
2022-07-28,2022-07-28 14:00:00.000,Merry Go Round,26
2022-07-28,2022-07-28 14:00:00.000,Oz Theatre,8
2022-07-28,2022-07-28 14:00:00.000,Rapids Ride,24
2022-07-28,2022-07-28 14:00:00.000,Roller Coaster,34
2022-07-28,2022-07-28 14:00:00.000,Spinning Coaster,24
2022-07-28,2022-07-28 14:00:00.000,Spiral Slide,86
2022-07-28,2022-07-28 14:00:00.000,Superman Ride,21
2022-07-28,2022-07-28 14:00:00.000,Swing Ride,50
2022-07-28,2022-07-28 14:00:00.000,Water Ride,29
2022-07-28,2022-07-28 14:00:00.000,Zipline,35
2022-07-28,2022-07-28 15:00:00.000,Bumper Cars,15
2022-07-28,2022-07-28 15:00:00.000,Bungee Jump,34
2022-07-28,2022-07-28 15:00:00.000,Circus Train,5
2022-07-28,2022-07-28 15:00:00.000,Dizzy Dropper,16
2022-07-28,2022-07-28 15:00:00.000,Drop Tower,35
2022-07-28,2022-07-28 15:00:00.000,Flying Coaster,30
2022-07-28,2022-07-28 15:00:00.000,Free Fall,63
2022-07-28,2022-07-28 15:00:00.000,Giant Wheel,51
2022-07-28,2022-07-28 15:00:00.000,Go-Karts,33
2022-07-28,2022-07-28 15:00:00.000,Haunted House,24
2022-07-28,2022-07-28 15:00:00.000,Inverted Coaster,33
2022-07-28,2022-07-28 15:00:00.000,Kiddie Coaster,11
2022-07-28,2022-07-28 15:00:00.000,Merry Go Round,27
2022-07-28,2022-07-28 15:00:00.000,Oz Theatre,8
2022-07-28,2022-07-28 15:00:00.000,Rapids Ride,27
2022-07-28,2022-07-28 15:00:00.000,Roller Coaster,35
2022-07-28,2022-07-28 15:00:00.000,Spinning Coaster,25
2022-07-28,2022-07-28 15:00:00.000,Spiral Slide,87
2022-07-28,2022-07-28 15:00:00.000,Superman Ride,21
2022-07-28,2022-07-28 15:00:00.000,Swing Ride,49
2022-07-28,2022-07-28 15:00:00.000,Water Ride,30
2022-07-28,2022-07-28 15:00:00.000,Zipline,35
